date,y
2005-07-01,0.874336
2005-08-01,1.006497
2005-09-01,1.094736
2005-10-01,1.027043
2005-11-01,1.149232
2005-12-01,1.160712
2006-01-01,1.230691
2006-02-01,0.587135
2006-03-01,0.706959
2006-04-01,0.639641
2006-05-01,0.807405
2006-06-01,0.79797
2006-07-01,0.884312
2006-08-01,1.049648
2006-09-01,0.995709
2006-10-01,1.168253
2006-11-01,1.108038
2006-12-01,1.120053
2007-01-01,1.223319
2007-02-01,0.597753
2007-03-01,0.704398
2007-04-01,0.56176
2007-05-01,0.745258
2007-06-01,0.837934
2007-07-01,0.954144
2007-08-01,1.07821949
2007-09-01,1.11098161
2007-10-01,1.10997914
2007-11-01,1.1635343
2007-12-01,1.176589
2008-01-01,1.219941
2008-02-01,0.761822
2008-03-01,0.649435
2008-04-01,0.827887
2008-05-01,0.816255
2008-06-01,0.762137
